Format Version,1.22,Take Name,Turn right  90   HJ 2019-04-12 04.00.40 PM_040,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2019-04-12 04.36.25.344 下午,Total Frames in Take,626,Total Exported Frames,626,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Glob,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RTip,RTip,RTip,Trunk Front,Trunk Front,Trunk Front,LTip,LTip,LTip,Trunk Back,Trunk Back,Trunk Back,,,,,,,,,,,,,,,,,,,
,,C3BD0,C3BD0,C3BD0,C3BF0,C3BF0,C3BF0,C3C00,C3C00,C3C00,C4320,C4320,C4320,,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,,,,,,,,
53,0.441667,1087.875244,355.88446,1346.589966,1254.552368,1310.206665,1511.126953,1410.929077,356.554993,1352.292358,1279.844971,1293.351074,1240.416748,,,,,,,,,,,,,,,,,,,
54,0.45,1087.821777,355.841034,1346.806641,1254.620361,1310.125977,1511.29895,1410.912354,356.568573,1352.098755,1279.660522,1293.46228,1240.565308,,,,,,,,,,,,,,,,,,,
55,0.458333,1087.770264,355.79837,1347.016113,1254.68042,1310.044922,1511.481079,1410.886597,356.585999,1351.908813,1279.461914,1293.574829,1240.723022,,,,,,,,,,,,,,,,,,,
56,0.466667,1087.720581,355.756683,1347.215454,1254.732178,1309.963745,1511.673584,1410.852417,356.607117,1351.722168,1279.249023,1293.687988,1240.890381,,,,,,,,,,,,,,,,,,,
57,0.475,1087.672974,355.716187,1347.402344,1254.775269,1309.882568,1511.876587,1410.810425,356.631592,1351.538452,1279.022827,1293.80127,1241.067871,,,,,,,,,,,,,,,,,,,
58,0.483333,1087.627075,355.677155,1347.575073,1254.809326,1309.801514,1512.09021,1410.761353,356.659241,1351.356934,1278.783813,1293.914429,1241.255737,,,,,,,,,,,,,,,,,,,
59,0.491667,1087.582886,355.639648,1347.7323,1254.833984,1309.720825,1512.314697,1410.705933,356.689972,1351.177368,1278.532593,1294.026978,1241.45459,,,,,,,,,,,,,,,,,,,
60,0.5,1087.540405,355.60376,1347.873535,1254.848633,1309.640747,1512.550049,1410.644531,356.723572,1350.998535,1278.270264,1294.138428,1241.664673,,,,,,,,,,,,,,,,,,,
61,0.508333,1087.499512,355.56958,1347.998413,1254.852783,1309.561279,1512.796265,1410.577881,356.759949,1350.820068,1277.997192,1294.248779,1241.885864,,,,,,,,,,,,,,,,,,,
62,0.516667,1087.460083,355.537048,1348.1073,1254.846069,1309.482422,1513.053833,1410.50647,356.798981,1350.641235,1277.714233,1294.357788,1242.11853,,,,,,,,,,,,,,,,,,,
63,0.525,1087.422241,355.506256,1348.200562,1254.828247,1309.404419,1513.322388,1410.430786,356.840607,1350.46167,1277.422607,1294.465088,1242.362671,,,,,,,,,,,,,,,,,,,
64,0.533333,1087.385864,355.477112,1348.279175,1254.798828,1309.326782,1513.602295,1410.35083,356.884705,1350.281372,1277.122559,1294.570435,1242.618164,,,,,,,,,,,,,,,,,,,
65,0.541667,1087.351196,355.449677,1348.34375,1254.757324,1309.249512,1513.893311,1410.266968,356.931244,1350.099731,1276.815186,1294.673828,1242.885498,,,,,,,,,,,,,,,,,,,
66,0.55,1087.317871,355.423981,1348.395264,1254.703613,1309.172485,1514.195923,1410.179199,356.980133,1349.917114,1276.501099,1294.775024,1243.164307,,,,,,,,,,,,,,,,,,,
67,0.558333,1087.285767,355.400024,1348.434326,1254.637451,1309.095581,1514.509766,1410.087158,357.031403,1349.733276,1276.180664,1294.873901,1243.454956,,,,,,,,,,,,,,,,,,,
68,0.566667,1087.254639,355.377899,1348.461792,1254.558594,1309.018921,1514.834839,1409.990845,357.085022,1349.548706,1275.854736,1294.970581,1243.757446,,,,,,,,,,,,,,,,,,,
69,0.575,1087.224121,355.357697,1348.477905,1254.467041,1308.942383,1515.171387,1409.889893,357.14093,1349.363403,1275.523926,1295.065063,1244.071777,,,,,,,,,,,,,,,,,,,
70,0.583333,1087.19397,355.339447,1348.483643,1254.362549,1308.866089,1515.519165,1409.784058,357.199066,1349.177856,1275.188721,1295.157227,1244.397705,,,,,,,,,,,,,,,,,,,
71,0.591667,1087.163696,355.32309,1348.479126,1254.245483,1308.790039,1515.878052,1409.673096,357.25943,1348.992188,1274.849731,1295.247192,1244.735596,,,,,,,,,,,,,,,,,,,
72,0.6,1087.132813,355.308624,1348.464966,1254.115967,1308.714233,1516.248169,1409.556885,357.321899,1348.807129,1274.507935,1295.335083,1245.084961,,,,,,,,,,,,,,,,,,,
73,0.608333,1087.10083,355.295959,1348.441895,1253.973999,1308.639038,1516.629272,1409.435303,357.386322,1348.622925,1274.163452,1295.420776,1245.445801,,,,,,,,,,,,,,,,,,,
74,0.616667,1087.067505,355.284912,1348.410278,1253.819946,1308.564209,1517.02124,1409.308228,357.452576,1348.440186,1273.816895,1295.504272,1245.818115,,,,,,,,,,,,,,,,,,,
75,0.625,1087.032471,355.275177,1348.371216,1253.654175,1308.489746,1517.423828,1409.175903,357.520477,1348.259644,1273.46875,1295.585693,1246.201904,,,,,,,,,,,,,,,,,,,
76,0.633333,1086.995361,355.266541,1348.325928,1253.477051,1308.415771,1517.837036,1409.038574,357.589844,1348.081909,1273.119263,1295.664551,1246.59668,,,,,,,,,,,,,,,,,,,
77,0.641667,1086.956055,355.258667,1348.275757,1253.288818,1308.342163,1518.26062,1408.896362,357.660461,1347.907959,1272.768677,1295.740967,1247.002563,,,,,,,,,,,,,,,,,,,
78,0.65,1086.914185,355.25119,1348.222046,1253.090088,1308.268921,1518.694214,1408.749634,357.732178,1347.738647,1272.417358,1295.814819,1247.419312,,,,,,,,,,,,,,,,,,,
79,0.658333,1086.869873,355.243805,1348.166504,1252.880981,1308.195679,1519.137695,1408.598877,357.804718,1347.574829,1272.065308,1295.885986,1247.846802,,,,,,,,,,,,,,,,,,,
80,0.666667,1086.822876,355.236115,1348.11084,1252.661621,1308.122437,1519.590698,1408.444702,357.877991,1347.417603,1271.713013,1295.954468,1248.28479,,,,,,,,,,,,,,,,,,,
81,0.675,1086.773315,355.227814,1348.056885,1252.432495,1308.04895,1520.052979,1408.287109,357.951843,1347.267822,1271.360474,1296.020142,1248.733032,,,,,,,,,,,,,,,,,,,
82,0.683333,1086.720703,355.218628,1348.006714,1252.193604,1307.97522,1520.52417,1408.126953,358.026154,1347.126465,1271.008301,1296.08313,1249.191284,,,,,,,,,,,,,,,,,,,
83,0.691667,1086.665527,355.208282,1347.961914,1251.945313,1307.900757,1521.003662,1407.964478,358.100769,1346.994263,1270.656372,1296.143433,1249.65918,,,,,,,,,,,,,,,,,,,
84,0.7,1086.607422,355.196564,1347.924316,1251.687622,1307.825806,1521.491089,1407.800415,358.175568,1346.871704,1270.305298,1296.201416,1250.136353,,,,,,,,,,,,,,,,,,,
85,0.708333,1086.546631,355.18338,1347.89563,1251.421021,1307.75,1521.98584,1407.635254,358.250427,1346.759277,1269.9552,1296.257446,1250.622559,,,,,,,,,,,,,,,,,,,
86,0.716667,1086.483154,355.168701,1347.876831,1251.145508,1307.67334,1522.487793,1407.46936,358.325104,1346.657227,1269.606445,1296.31189,1251.117065,,,,,,,,,,,,,,,,,,,
87,0.725,1086.417114,355.152496,1347.869141,1250.861328,1307.595825,1522.996094,1407.303833,358.399323,1346.565918,1269.259521,1296.364746,1251.619873,,,,,,,,,,,,,,,,,,,
88,0.733333,1086.348389,355.134796,1347.873291,1250.568604,1307.517578,1523.510742,1407.138794,358.472839,1346.485352,1268.914673,1296.416626,1252.130005,,,,,,,,,,,,,,,,,,,
89,0.741667,1086.277588,355.115692,1347.889771,1250.267578,1307.438354,1524.030762,1406.975098,358.545227,1346.415771,1268.57251,1296.467896,1252.647583,,,,,,,,,,,,,,,,,,,
90,0.75,1086.20459,355.095215,1347.918457,1249.958374,1307.358398,1524.556396,1406.813354,358.61618,1346.357056,1268.233154,1296.518677,1253.171875,,,,,,,,,,,,,,,,,,,
91,0.758333,1086.129517,355.073456,1347.959595,1249.641357,1307.277588,1525.086792,1406.654053,358.685394,1346.309814,1267.897095,1296.56958,1253.702637,,,,,,,,,,,,,,,,,,,
92,0.766667,1086.052734,355.050446,1348.012817,1249.316284,1307.195923,1525.621948,1406.497437,358.752563,1346.274048,1267.564697,1296.620605,1254.239258,,,,,,,,,,,,,,,,,,,
