Format Version,1.22,Take Name,walk straight forwar RHG 2019-04-15 07.33.32 PM,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2019-04-15 07.35.00.133 下午,Total Frames in Take,1163,Total Exported Frames,1163,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Glob,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,LTip,LTip,LTip,RTip,RTip,RTip,Trunk Back,Trunk Back,Trunk Back,Trunk Front,Trunk Front,Trunk Front,,,,,,,,,,,,,,,,,,,
,,C8370,C8370,C8370,C8380,C8380,C8380,C8390,C8390,C8390,C83B0,C83B0,C83B0,,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,,,,,,,,
49,0.408333,156.817856,348.566833,-218.801132,-163.221237,332.386444,-191.951035,8.475137,1289.306641,-288.107178,0.320004,1288.055298,-53.123032,,,,,,,,,,,,,,,,,,,
50,0.416667,156.822433,348.567017,-218.817871,-163.219589,332.388367,-191.933655,8.562796,1289.308594,-288.149872,0.3245,1288.047607,-53.156338,,,,,,,,,,,,,,,,,,,
51,0.425,156.827408,348.566803,-218.834839,-163.216705,332.390869,-191.916565,8.648355,1289.309692,-288.192017,0.325695,1288.040405,-53.189106,,,,,,,,,,,,,,,,,,,
52,0.433333,156.832901,348.566162,-218.851425,-163.212555,332.39386,-191.90036,8.732592,1289.310913,-288.233521,0.322492,1288.033936,-53.221466,,,,,,,,,,,,,,,,,,,
53,0.441667,156.839081,348.565155,-218.867035,-163.207062,332.397247,-191.885666,8.816004,1289.312378,-288.274261,0.314256,1288.028687,-53.253483,,,,,,,,,,,,,,,,,,,
54,0.45,156.84613,348.563782,-218.881027,-163.200256,332.400909,-191.873138,8.898708,1289.314331,-288.314026,0.300942,1288.024536,-53.285107,,,,,,,,,,,,,,,,,,,
55,0.458333,156.854218,348.562042,-218.89296,-163.192169,332.404816,-191.863419,8.980427,1289.317017,-288.352539,0.2831,1288.021484,-53.316238,,,,,,,,,,,,,,,,,,,
56,0.466667,156.863419,348.559875,-218.902512,-163.182861,332.408752,-191.857025,9.060602,1289.319702,-288.389709,0.261743,1288.019409,-53.346794,,,,,,,,,,,,,,,,,,,
57,0.475,156.873749,348.55722,-218.909607,-163.17244,332.412537,-191.854294,9.138572,1289.322144,-288.425385,0.238114,1288.017944,-53.376793,,,,,,,,,,,,,,,,,,,
58,0.483333,156.885132,348.554108,-218.914276,-163.161163,332.416077,-191.855423,9.213733,1289.323608,-288.459717,0.213445,1288.016724,-53.406384,,,,,,,,,,,,,,,,,,,
59,0.491667,156.897476,348.550476,-218.916687,-163.149353,332.41922,-191.860413,9.285646,1289.323242,-288.492889,0.18877,1288.015137,-53.435822,,,,,,,,,,,,,,,,,,,
60,0.5,156.910522,348.546509,-218.917175,-163.137375,332.421906,-191.869156,9.354105,1289.320801,-288.525269,0.164834,1288.012695,-53.465374,,,,,,,,,,,,,,,,,,,
61,0.508333,156.924011,348.542297,-218.916077,-163.125595,332.424011,-191.881424,9.419114,1289.31604,-288.55719,0.142066,1288.009521,-53.495258,,,,,,,,,,,,,,,,,,,
62,0.516667,156.937592,348.537994,-218.913803,-163.114319,332.425598,-191.89682,9.480814,1289.308838,-288.58905,0.120621,1288.005249,-53.525661,,,,,,,,,,,,,,,,,,,
63,0.525,156.950943,348.533752,-218.910782,-163.103851,332.426666,-191.914825,9.539403,1289.299438,-288.621124,0.100528,1288.000122,-53.556709,,,,,,,,,,,,,,,,,,,
64,0.533333,156.963776,348.529755,-218.907272,-163.094376,332.427338,-191.934799,9.595115,1289.288452,-288.653687,0.08188,1287.994751,-53.58847,,,,,,,,,,,,,,,,,,,
65,0.541667,156.975861,348.526093,-218.903473,-163.086029,332.427704,-191.955978,9.648194,1289.276001,-288.686981,0.064931,1287.989502,-53.620975,,,,,,,,,,,,,,,,,,,
66,0.55,156.986923,348.522797,-218.899506,-163.078857,332.427765,-191.977554,9.69885,1289.263062,-288.721222,0.050082,1287.985229,-53.654274,,,,,,,,,,,,,,,,,,,
67,0.558333,156.996719,348.519836,-218.895477,-163.072861,332.427551,-191.998642,9.747164,1289.249512,-288.756622,0.037811,1287.9823,-53.688419,,,,,,,,,,,,,,,,,,,
68,0.566667,157.005188,348.517273,-218.891464,-163.068054,332.427124,-192.018387,9.793002,1289.235962,-288.793274,0.028586,1287.981567,-53.723454,,,,,,,,,,,,,,,,,,,
69,0.575,157.01236,348.515198,-218.887558,-163.064453,332.426514,-192.035995,9.836,1289.222534,-288.831177,0.022803,1287.982666,-53.759472,,,,,,,,,,,,,,,,,,,
70,0.583333,157.018356,348.513794,-218.883926,-163.062057,332.425781,-192.050903,9.875683,1289.208984,-288.870361,0.020702,1287.986206,-53.796574,,,,,,,,,,,,,,,,,,,
71,0.591667,157.023285,348.512909,-218.880936,-163.060852,332.424835,-192.062653,9.911633,1289.195679,-288.910828,0.022317,1287.991699,-53.834877,,,,,,,,,,,,,,,,,,,
72,0.6,157.0271,348.512543,-218.879013,-163.060822,332.423645,-192.070953,9.943608,1289.182129,-288.952515,0.027463,1287.999023,-53.874477,,,,,,,,,,,,,,,,,,,
73,0.608333,157.029755,348.512451,-218.878647,-163.061905,332.422119,-192.075684,9.971605,1289.168579,-288.995239,0.035815,1288.007935,-53.915386,,,,,,,,,,,,,,,,,,,
74,0.616667,157.031326,348.512482,-218.880066,-163.064011,332.420135,-192.076859,9.995867,1289.154785,-289.038696,0.047017,1288.0177,-53.957462,,,,,,,,,,,,,,,,,,,
75,0.625,157.032043,348.512573,-218.883438,-163.067139,332.417694,-192.074631,10.01684,1289.140869,-289.082489,0.060739,1288.027954,-54.000446,,,,,,,,,,,,,,,,,,,
76,0.633333,157.032196,348.512665,-218.888672,-163.071274,332.414795,-192.069168,10.035141,1289.126465,-289.12619,0.076684,1288.038086,-54.043987,,,,,,,,,,,,,,,,,,,
77,0.641667,157.032135,348.512817,-218.895584,-163.076492,332.411438,-192.060791,10.051505,1289.112061,-289.16925,0.094573,1288.047852,-54.0877,,,,,,,,,,,,,,,,,,,
78,0.65,157.032242,348.513,-218.903824,-163.08287,332.407532,-192.049728,10.066693,1289.097412,-289.211304,0.114162,1288.057007,-54.131214,,,,,,,,,,,,,,,,,,,
79,0.658333,157.032852,348.513153,-218.912994,-163.090424,332.403137,-192.036346,10.081409,1289.082642,-289.251984,0.135224,1288.065186,-54.174202,,,,,,,,,,,,,,,,,,,
80,0.666667,157.03421,348.513184,-218.922562,-163.099197,332.398041,-192.021011,10.096203,1289.067871,-289.291138,0.157521,1288.072876,-54.216423,,,,,,,,,,,,,,,,,,,
81,0.675,157.036484,348.513,-218.932037,-163.109222,332.392151,-192.004059,10.111464,1289.053345,-289.328705,0.180798,1288.079956,-54.257679,,,,,,,,,,,,,,,,,,,
82,0.683333,157.03981,348.512634,-218.940948,-163.120605,332.385345,-191.985779,10.127425,1289.039063,-289.364655,0.204799,1288.086914,-54.297829,,,,,,,,,,,,,,,,,,,
83,0.691667,157.044327,348.511902,-218.948761,-163.133545,332.377441,-191.966446,10.144215,1289.024902,-289.399231,0.229287,1288.094238,-54.33672,,,,,,,,,,,,,,,,,,,
84,0.7,157.05011,348.510834,-218.955078,-163.148331,332.368317,-191.946106,10.161897,1289.011597,-289.432526,0.2541,1288.102417,-54.374172,,,,,,,,,,,,,,,,,,,
85,0.708333,157.057129,348.509216,-218.959488,-163.165237,332.35788,-191.924728,10.180511,1288.998901,-289.464661,0.279246,1288.11145,-54.409935,,,,,,,,,,,,,,,,,,,
86,0.716667,157.06546,348.507019,-218.961578,-163.18454,332.345978,-191.902115,10.200099,1288.987305,-289.495636,0.304927,1288.121704,-54.443714,,,,,,,,,,,,,,,,,,,
87,0.725,157.075256,348.504242,-218.96106,-163.206497,332.33255,-191.878052,10.220699,1288.976929,-289.525452,0.331498,1288.133423,-54.475197,,,,,,,,,,,,,,,,,,,
88,0.733333,157.086792,348.500916,-218.957611,-163.231277,332.317566,-191.852295,10.24235,1288.967896,-289.553986,0.359397,1288.146484,-54.504078,,,,,,,,,,,,,,,,,,,
89,0.741667,157.100281,348.49707,-218.951141,-163.25885,332.301239,-191.824707,10.265099,1288.960205,-289.581146,0.389058,1288.160767,-54.530052,,,,,,,,,,,,,,,,,,,
90,0.75,157.115768,348.492615,-218.941681,-163.288895,332.283783,-191.795349,10.289044,1288.953979,-289.606873,0.420817,1288.17627,-54.552826,,,,,,,,,,,,,,,,,,,
91,0.758333,157.133163,348.487457,-218.929535,-163.320862,332.265656,-191.764572,10.314351,1288.948975,-289.631042,0.454877,1288.192871,-54.572166,,,,,,,,,,,,,,,,,,,
92,0.766667,157.152176,348.481476,-218.915192,-163.353867,332.24707,-191.733002,10.341242,1288.945313,-289.653625,0.491305,1288.210205,-54.587837,,,,,,,,,,,,,,,,,,,
93,0.775,157.172379,348.474548,-218.899261,-163.386841,332.228455,-191.701523,10.369957,1288.942749,-289.674622,0.530045,1288.228027,-54.599625,,,,,,,,,,,,,,,,,,,
94,0.783333,157.193298,348.466675,-218.882462,-163.41864,332.210083,-191.671097,10.400776,1288.941162,-289.693878,0.570948,1288.246338,-54.607277,,,,,,,,,,,,,,,,,,,
95,0.791667,157.214401,348.457642,-218.865494,-163.448288,332.192291,-191.642731,10.43404,1288.940552,-289.711456,0.6138,1288.265015,-54.610512,,,,,,,,,,,,,,,,,,,
96,0.8,157.235199,348.44751,-218.849197,-163.475052,332.175354,-191.617218,10.4701,1288.940796,-289.727234,0.658308,1288.283691,-54.609055,,,,,,,,,,,,,,,,,,,
97,0.808333,157.255341,348.43634,-218.834244,-163.498444,332.159363,-191.595047,10.509232,1288.942017,-289.74118,0.70408,1288.302124,-54.60265,,,,,,,,,,,,,,,,,,,
