Format Version,1.22,Take Name,walk straight forward ZY 2019-04-17 09.31.11 AM_007,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2019-04-17 10.00.21.041 上午,Total Frames in Take,964,Total Exported Frames,964,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Glob,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RTip,RTip,RTip,Trunk Front,Trunk Front,Trunk Front,LTip,LTip,LTip,Trunk Back,Trunk Back,Trunk Back,Unlabeled 1198,Unlabeled 1198,Unlabeled 1198,,,,,,,,,,,,,,,,,,,
,,C3EF0,C3EF0,C3EF0,C3F30,C3F30,C3F30,C3F40,C3F40,C3F40,C40B0,C40B0,C40B0,C40D0,C40D0,C40D0,,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,,,,,,,,
49,0.408333,-122.243256,360.009796,79.899673,21.72823,1142.51001,262.053406,146.658737,367.037231,104.670662,55.452763,1105.31897,23.782253,,,,,,,,,,,,,,,,,,,,,,
50,0.416667,-122.32151,360.060852,79.650406,21.662512,1142.48291,262.14856,146.786301,367.549469,104.490479,55.214336,1105.39502,23.807146,,,,,,,,,,,,,,,,,,,,,,
51,0.425,-122.445267,360.137909,79.424393,21.616261,1142.471924,262.211487,146.857651,367.61557,104.380898,55.036404,1105.449219,23.828253,,,,,,,,,,,,,,,,,,,,,,
52,0.433333,-122.540085,360.166473,79.21257,21.530399,1142.450439,262.287048,146.885956,367.638184,104.330315,54.76667,1105.529541,23.844511,,,,,,,,,,,,,,,,,,,,,,
53,0.441667,-122.640434,360.20401,79.032898,21.479548,1142.441528,262.354614,146.941864,367.637482,104.321327,54.497509,1105.62085,23.826674,,,,,,,,,,,,,,,,,,,,,,
54,0.45,-122.762177,360.271332,78.829498,21.398077,1142.422974,262.41629,146.994446,367.63913,104.326073,54.26366,1105.684937,23.806103,,,,,,,,,,,,,,,,,,,,,,
55,0.458333,-122.875961,360.281586,78.616005,21.304806,1142.402222,262.467529,147.051895,367.674194,104.34951,54.043964,1105.770386,23.805267,,,,,,,,,,,,,,,,,,,,,,
56,0.466667,-123.035988,360.303131,78.38443,21.268108,1142.401733,262.534302,147.091614,367.672424,104.339287,53.828678,1105.829224,23.799994,,,,,,,,,,,,,,,,,,,,,,
57,0.475,-123.251991,360.391388,78.255905,21.188572,1142.397949,262.561584,147.115692,367.706268,104.266151,53.559258,1105.918701,23.769758,,,,,,,,,,,,,,,,,,,,,,
58,0.483333,-123.432434,360.46701,78.171806,21.11772,1142.397705,262.590179,147.111359,367.736237,104.164063,53.348885,1105.995605,23.741774,,,,,,,,,,,,,,,,,,,,,,
59,0.491667,-123.604622,360.522339,78.12484,21.046122,1142.396973,262.627014,147.127884,367.797394,104.034492,53.120426,1106.098999,23.7251,,,,,,,,,,,,,,,,,,,,,,
60,0.5,-123.757935,360.589813,78.084991,20.988762,1142.401245,262.662476,147.135376,367.868011,103.893929,52.868523,1106.1875,23.682966,,,,,,,,,,,,,,,,,,,,,,
61,0.508333,-123.889076,360.598877,78.038261,20.919046,1142.4104,262.681885,147.12413,367.930603,103.765182,52.625576,1106.296265,23.610197,,,,,,,,,,,,,,,,,,,,,,
62,0.516667,-124.037682,360.672882,78.028793,20.833132,1142.421143,262.699829,147.140259,368.023651,103.660126,52.350765,1106.417603,23.552469,,,,,,,,,,,,,,,,,,,,,,
63,0.525,-124.16169,360.722931,78.010826,20.737766,1142.427612,262.686493,147.123352,368.074585,103.546455,52.078678,1106.535889,23.501583,,,,,,,,,,,,,,,,,,,,,,
