Format Version,1.22,Take Name,Walk straight lateral right LJL 2019-04-16 07.49.43 PM_005,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2019-04-16 07.53.56.328 下午,Total Frames in Take,912,Total Exported Frames,912,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Glob,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,LTip,LTip,LTip,Trunk Front,Trunk Front,Trunk Front,RTip,RTip,RTip,Trunk Back,Trunk Back,Trunk Back,,,,,,,,,,,,,,,,,,,
,,CA180,CA180,CA180,CA560,CA560,CA560,CA570,CA570,CA570,CA580,CA580,CA580,,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,,,,,,,,
77,0.641667,158.751144,313.876526,4.884324,2.461598,1200.499634,181.612457,-165.315765,331.850586,43.840622,10.534807,1198.633911,-67.628326,,,,,,,,,,,,,,,,,,,
78,0.65,158.75293,313.877747,4.864283,2.438561,1200.502075,181.547623,-165.323715,331.846558,43.824387,10.504354,1198.62915,-67.694466,,,,,,,,,,,,,,,,,,,
79,0.658333,158.754761,313.879028,4.843374,2.416884,1200.504761,181.485229,-165.331436,331.84314,43.80864,10.472282,1198.624023,-67.758865,,,,,,,,,,,,,,,,,,,
80,0.666667,158.756577,313.880524,4.821663,2.396508,1200.508057,181.425323,-165.338867,331.840179,43.793114,10.438757,1198.619019,-67.821609,,,,,,,,,,,,,,,,,,,
81,0.675,158.758438,313.882202,4.799213,2.377331,1200.511719,181.367905,-165.345932,331.837494,43.777576,10.403993,1198.614258,-67.882759,,,,,,,,,,,,,,,,,,,
82,0.683333,158.7603,313.884094,4.776093,2.359234,1200.515503,181.313004,-165.35257,331.83493,43.761868,10.368162,1198.610229,-67.942329,,,,,,,,,,,,,,,,,,,
83,0.691667,158.762146,313.886139,4.752367,2.342109,1200.519653,181.260635,-165.358765,331.832306,43.745918,10.331365,1198.607056,-68.00032,,,,,,,,,,,,,,,,,,,
84,0.7,158.763901,313.888397,4.728087,2.325871,1200.523682,181.210754,-165.364639,331.829498,43.729744,10.293672,1198.605225,-68.056664,,,,,,,,,,,,,,,,,,,
85,0.708333,158.765533,313.890686,4.703317,2.310442,1200.527832,181.163361,-165.370255,331.826355,43.713448,10.255199,1198.604492,-68.111343,,,,,,,,,,,,,,,,,,,
86,0.716667,158.767014,313.893005,4.678122,2.295721,1200.53186,181.118332,-165.375656,331.822937,43.697208,10.216146,1198.605225,-68.164352,,,,,,,,,,,,,,,,,,,
87,0.725,158.76825,313.895233,4.65254,2.281574,1200.535767,181.075577,-165.380829,331.819244,43.681229,10.176751,1198.607422,-68.215714,,,,,,,,,,,,,,,,,,,
88,0.733333,158.769196,313.897156,4.626588,2.267862,1200.539551,181.034821,-165.385818,331.815399,43.665699,10.13726,1198.610962,-68.265495,,,,,,,,,,,,,,,,,,,
89,0.741667,158.769745,313.898834,4.600312,2.25447,1200.543457,180.995865,-165.390579,331.811554,43.650749,10.097902,1198.615723,-68.313812,,,,,,,,,,,,,,,,,,,
90,0.75,158.769897,313.900269,4.57381,2.24132,1200.546997,180.958466,-165.395126,331.807861,43.636436,10.058887,1198.62146,-68.360786,,,,,,,,,,,,,,,,,,,
91,0.758333,158.769669,313.901581,4.547208,2.228348,1200.550415,180.922302,-165.399521,331.804413,43.622795,10.020427,1198.628296,-68.406517,,,,,,,,,,,,,,,,,,,
92,0.766667,158.769089,313.90271,4.52063,2.215496,1200.553589,180.8871,-165.403839,331.801453,43.609848,9.982717,1198.635864,-68.451065,,,,,,,,,,,,,,,,,,,
93,0.775,158.768158,313.903687,4.494221,2.202714,1200.556396,180.852585,-165.408157,331.79892,43.597603,9.945943,1198.644043,-68.494469,,,,,,,,,,,,,,,,,,,
94,0.783333,158.766907,313.904633,4.468202,2.189959,1200.559082,180.818573,-165.412506,331.796783,43.586002,9.91029,1198.652588,-68.536804,,,,,,,,,,,,,,,,,,,
95,0.791667,158.765411,313.90564,4.44284,2.177195,1200.561401,180.784897,-165.416824,331.794952,43.574909,9.875922,1198.661743,-68.57814,,,,,,,,,,,,,,,,,,,
96,0.8,158.763672,313.90683,4.418355,2.164399,1200.563477,180.75148,-165.421097,331.793274,43.564133,9.842948,1198.670776,-68.61853,,,,,,,,,,,,,,,,,,,
97,0.808333,158.761658,313.908173,4.394873,2.151557,1200.565063,180.718292,-165.425293,331.791656,43.553432,9.811416,1198.680054,-68.65799,,,,,,,,,,,,,,,,,,,
98,0.816667,158.759277,313.909546,4.372447,2.138683,1200.566528,180.685333,-165.429428,331.790131,43.542572,9.781349,1198.689453,-68.696457,,,,,,,,,,,,,,,,,,,
99,0.825,158.756485,313.91098,4.351089,2.125835,1200.567505,180.652664,-165.433426,331.788574,43.531326,9.752804,1198.699097,-68.733841,,,,,,,,,,,,,,,,,,,
100,0.833333,158.753296,313.912415,4.33077,2.113105,1200.568237,180.620377,-165.437271,331.787048,43.519455,9.725869,1198.708984,-68.770035,,,,,,,,,,,,,,,,,,,
101,0.841667,158.749725,313.913788,4.311402,2.100561,1200.568726,180.588531,-165.440918,331.785431,43.506714,9.700659,1198.718994,-68.804893,,,,,,,,,,,,,,,,,,,
102,0.85,158.745819,313.915009,4.292838,2.088202,1200.568848,180.557236,-165.444366,331.783783,43.492844,9.677271,1198.72937,-68.838234,,,,,,,,,,,,,,,,,,,
103,0.858333,158.741608,313.915955,4.274864,2.075944,1200.568726,180.526611,-165.447708,331.782135,43.477592,9.655772,1198.740234,-68.869881,,,,,,,,,,,,,,,,,,,
104,0.866667,158.737122,313.916565,4.257185,2.063632,1200.568481,180.496796,-165.451126,331.780762,43.460739,9.636209,1198.751465,-68.899612,,,,,,,,,,,,,,,,,,,
105,0.875,158.732422,313.916718,4.239447,2.051048,1200.568115,180.468002,-165.454803,331.779968,43.442089,9.618613,1198.763428,-68.927185,,,,,,,,,,,,,,,,,,,
